forecast_timestamp,step,prediction,p10,p50,p90,interval_method
2015-01-01 07:00:00,28,129.86841,107.41802,129.86841,154.57104,validation_residual_calibration
2015-01-01 07:15:00,29,137.03255,113.77522,137.03255,162.62634,validation_residual_calibration
2015-01-01 07:30:00,30,136.02594,114.16609,136.02594,162.54532,validation_residual_calibration
2015-01-01 07:45:00,31,127.84827,105.61565,127.84827,153.83505,validation_residual_calibration
2015-01-01 08:00:00,32,127.580215,104.876686,127.580215,152.75926,validation_residual_calibration
2015-01-01 08:15:00,33,129.93887,106.252815,129.93887,153.77264,validation_residual_calibration
2015-01-01 08:30:00,34,132.07906,110.24636,132.07906,155.50438,validation_residual_calibration
2015-01-01 08:45:00,35,141.87883,119.59946,141.87883,166.1696,validation_residual_calibration
2015-01-01 09:00:00,36,153.55402,131.35022,153.55402,176.87733,validation_residual_calibration
2015-01-01 09:15:00,37,170.7421,149.14014,170.7421,193.42352,validation_residual_calibration
2015-01-01 09:30:00,38,179.2381,157.32518,179.2381,203.1017,validation_residual_calibration
2015-01-01 09:45:00,39,183.84616,161.57465,183.84616,206.75359,validation_residual_calibration
2015-01-01 10:00:00,40,185.00748,162.5246,185.00748,208.07637,validation_residual_calibration
2015-01-01 10:15:00,41,178.4564,156.82356,178.4564,203.1736,validation_residual_calibration
2015-01-01 10:30:00,42,178.88393,157.65427,178.88393,203.45457,validation_residual_calibration
2015-01-01 10:45:00,43,181.2327,159.65771,181.2327,206.29309,validation_residual_calibration
2015-01-01 11:00:00,44,187.05545,166.70688,187.05545,212.24431,validation_residual_calibration
2015-01-01 11:15:00,45,193.49944,172.60416,193.49944,217.62358,validation_residual_calibration
2015-01-01 11:30:00,46,198.43481,177.37263,198.43481,221.65642,validation_residual_calibration
2015-01-01 11:45:00,47,196.10233,174.05507,196.10233,219.10197,validation_residual_calibration
2015-01-01 12:00:00,48,188.81784,168.12007,188.81784,212.81516,validation_residual_calibration
2015-01-01 12:15:00,49,184.4202,162.66504,184.4202,208.75473,validation_residual_calibration
2015-01-01 12:30:00,50,185.44708,163.70389,185.44708,208.82883,validation_residual_calibration
2015-01-01 12:45:00,51,181.20103,159.10907,181.20103,203.7919,validation_residual_calibration
2015-01-01 13:00:00,52,183.42628,162.83116,183.42628,206.74048,validation_residual_calibration
2015-01-01 13:15:00,53,182.17755,161.27985,182.17755,206.0868,validation_residual_calibration
2015-01-01 13:30:00,54,185.3638,164.23262,185.3638,209.20425,validation_residual_calibration
2015-01-01 13:45:00,55,187.74722,166.41475,187.74722,210.8851,validation_residual_calibration
2015-01-01 14:00:00,56,195.11563,173.75156,195.11563,218.63138,validation_residual_calibration
2015-01-01 14:15:00,57,197.11499,175.97327,197.11499,220.71732,validation_residual_calibration
2015-01-01 14:30:00,58,198.85767,177.66336,198.85767,222.93289,validation_residual_calibration
2015-01-01 14:45:00,59,199.78229,177.29562,199.78229,222.76381,validation_residual_calibration
2015-01-01 15:00:00,60,196.68784,173.97398,196.68784,219.21544,validation_residual_calibration
2015-01-01 15:15:00,61,192.65411,169.98921,192.65411,215.87082,validation_residual_calibration
2015-01-01 15:30:00,62,194.11922,172.12682,194.11922,216.97992,validation_residual_calibration
2015-01-01 15:45:00,63,193.6554,172.48093,193.6554,216.69484,validation_residual_calibration
2015-01-01 16:00:00,64,198.17435,176.8997,198.17435,221.72266,validation_residual_calibration
2015-01-01 16:15:00,65,201.27353,179.55008,201.27353,225.18959,validation_residual_calibration
2015-01-01 16:30:00,66,200.56006,179.5183,200.56006,223.83342,validation_residual_calibration
2015-01-01 16:45:00,67,209.05,189.41753,209.05,232.68344,validation_residual_calibration
2015-01-01 17:00:00,68,212.49544,191.57074,212.49544,235.87334,validation_residual_calibration
2015-01-01 17:15:00,69,219.08438,198.19505,219.08438,243.09271,validation_residual_calibration
2015-01-01 17:30:00,70,216.8707,196.30496,216.8707,241.25262,validation_residual_calibration
2015-01-01 17:45:00,71,217.56155,196.8101,217.56155,241.76993,validation_residual_calibration
2015-01-01 18:00:00,72,218.22859,197.31229,218.22859,242.66371,validation_residual_calibration
2015-01-01 18:15:00,73,223.00362,202.65909,223.00362,247.8464,validation_residual_calibration
2015-01-01 18:30:00,74,225.53088,205.54842,225.53088,250.07358,validation_residual_calibration
2015-01-01 18:45:00,75,226.24734,204.7752,226.24734,249.37767,validation_residual_calibration
2015-01-01 19:00:00,76,225.78958,204.6254,225.78958,248.96902,validation_residual_calibration
2015-01-01 19:15:00,77,219.00537,198.38103,219.00537,241.88556,validation_residual_calibration
2015-01-01 19:30:00,78,216.1759,196.30025,216.1759,239.17616,validation_residual_calibration
2015-01-01 19:45:00,79,213.71645,192.53864,213.71645,236.4945,validation_residual_calibration
2015-01-01 20:00:00,80,219.4748,198.72386,219.4748,242.35463,validation_residual_calibration
2015-01-01 20:15:00,81,219.09177,198.43742,219.09177,243.6711,validation_residual_calibration
2015-01-01 20:30:00,82,219.63808,199.4384,219.63808,244.23167,validation_residual_calibration
2015-01-01 20:45:00,83,223.30734,203.64189,223.30734,247.67918,validation_residual_calibration
2015-01-01 21:00:00,84,216.62144,196.2066,216.62144,239.76364,validation_residual_calibration
2015-01-01 21:15:00,85,215.4577,194.99101,215.4577,238.09859,validation_residual_calibration
2015-01-01 21:30:00,86,216.78987,196.49101,216.78987,239.94414,validation_residual_calibration
2015-01-01 21:45:00,87,203.9895,183.58774,203.9895,227.43167,validation_residual_calibration
2015-01-01 22:00:00,88,201.96182,180.96494,201.96182,225.05702,validation_residual_calibration
2015-01-01 22:15:00,89,194.60077,175.066,194.60077,219.01108,validation_residual_calibration
2015-01-01 22:30:00,90,176.70044,157.90549,176.70044,201.7375,validation_residual_calibration
2015-01-01 22:45:00,91,157.19063,137.76025,157.19063,180.63232,validation_residual_calibration
2015-01-01 23:00:00,92,141.30197,121.40542,141.30197,164.08696,validation_residual_calibration
2015-01-01 23:15:00,93,130.76257,111.35149,130.76257,154.43814,validation_residual_calibration
2015-01-01 23:30:00,94,125.8499,106.0743,125.8499,148.3567,validation_residual_calibration
2015-01-01 23:45:00,95,128.06325,108.57516,128.06325,149.5198,validation_residual_calibration
2015-01-02 00:00:00,96,133.2196,112.44784,133.2196,152.97054,validation_residual_calibration
